profile,values
14143,0.1069
14144,-0.1260
14145,-0.1715
14151,0.1538
14152,0.0940
14153,0.0265
14154,-0.1999
14155,-0.2389
14211,0.6563
14212,0.5705
14213,0.4769
14214,0.2245
14215,0.1595
14221,0.6119
14222,0.5326
14223,0.4455
14224,0.1996
14225,0.1411
14231,0.5116
14232,0.4388
14233,0.3582
14234,0.1188
14235,0.0668
14241,0.1775
14242,0.1112
14243,0.0371
14244,-0.1958
14245,-0.2413
14251,0.0841
14252,0.0243
14253,-0.0433
14254,-0.2697
14255,-0.3087
14311,0.5990
14312,0.5132
14313,0.4196
14314,0.1672
14315,0.1021
14321,0.5546
14322,0.4753
14323,0.3882
14324,0.1423
14325,0.0838
14331,0.4543
14332,0.3815
14333,0.3009
14334,0.0615
14335,0.0095
14341,0.1201
14342,0.0539
14343,-0.0202
14344,-0.2531
14345,-0.2986
14351,0.0267
14352,-0.0331
14353,-0.1007
14354,-0.3270
14355,-0.3660
14411,0.4799
14412,0.3941
14413,0.3005
14414,0.0481
14415,-0.0170
14421,0.4355
14422,0.3562
14423,0.2691
14424,0.0232
14425,-0.0353
14431,0.3352
14432,0.2624
14433,0.1818
14434,-0.0576
14435,-0.1096
14441,0.0010
14442,-0.0652
14443,-0.1393
14444,-0.3722
14445,-0.4177
14451,-0.0924
14452,-0.1522
14453,-0.2197
14454,-0.4461
14455,-0.4851
14511,0.4484
14512,0.3626
14513,0.2690
14514,0.0166
14515,-0.0484
14521,0.4040
14522,0.3247
14523,0.2376
14524,-0.0083
14525,-0.0668
14531,0.3037
14532,0.2309
14533,0.1503
14534,-0.0891
14535,-0.1411
14541,-0.0304
14542,-0.0967
14543,-0.1708
14544,-0.4037
14545,-0.4492
14551,-0.1238
14552,-0.1836
14553,-0.2512
14554,-0.4776
14555,-0.5166
15111,0.6716
15112,0.5858
15113,0.4922
15114,0.2398
15115,0.1747
15121,0.6272
15122,0.5479
15123,0.4608
15124,0.2149
15125,0.1564
15131,0.5269
15132,0.4541
15133,0.3735
15134,0.1341
15135,0.0821
15141,0.1927
15142,0.1265
15143,0.0524
15144,-0.1805
15145,-0.2260
15151,0.0993
15152,0.0396
15153,-0.0280
15154,-0.2544
15155,-0.2934
15211,0.6018
15212,0.5160
15213,0.4224
15214,0.1700
15215,0.1050
15221,0.5574
15222,0.4781
15223,0.3910
15224,0.1451
15225,0.0866
15231,0.4571
15232,0.3843
15233,0.3037
15234,0.0643
15235,0.0123
15241,0.1230
15242,0.0567
15243,-0.0174
15244,-0.2503
15245,-0.2958
15251,0.0296
15252,-0.0302
15253,-0.0978
15254,-0.3242
15255,-0.3632
15311,0.5445
15312,0.4587
15313,0.3651
15314,0.1127
15315,0.0476
15321,0.5001
15322,0.4208
15323,0.3337
15324,0.0878
15325,0.0293
15331,0.3998
15332,0.3270
15333,0.2464
15334,0.0070
15335,-0.0450
15341,0.0656
15342,-0.0006
15343,-0.0747
15344,-0.3076
15345,-0.3531
15351,-0.0278
15352,-0.0876
15353,-0.1551
15354,-0.3815
15355,-0.4205
15411,0.4254
15412,0.3396
15413,0.2460
15414,-0.0064
15415,-0.0715
15421,0.3810
15422,0.3017
15423,0.2146
15424,-0.0313
15425,-0.0898
15431,0.2807
15432,0.2079
15433,0.1273
15434,-0.1121
15435,-0.1641
15441,-0.0535
15442,-0.1197
15443,-0.1938
15444,-0.4267
15445,-0.4722
15451,-0.1469
15452,-0.2067
15453,-0.2742
15454,-0.5006
15455,-0.5396
15511,0.3939
15512,0.3081
15513,0.2145
15514,-0.0379
15515,-0.1029
15521,0.3495
15522,0.2702
15523,0.1831
15524,-0.0628
15525,-0.1213
15531,0.2492
15532,0.1764
15533,0.0958
15534,-0.1436
15535,-0.1956
15541,-0.0849
15542,-0.1512
15543,-0.2253
15544,-0.4582
15545,-0.5037
15551,-0.1783
15552,-0.2381
15553,-0.3057
15554,-0.5321
15555,-0.5711
21111,0.9348
21112,0.8560
21113,0.7693
21114,0.5239
21115,0.4658
21121,0.8905
21122,0.8181
21123,0.7379
21124,0.4990
21125,0.4474
21131,0.7901
21132,0.7243
21133,0.6506
21134,0.4182
21135,0.3731
21141,0.4560
21142,0.3967
21143,0.3295
21144,0.1036
21145,0.0650
21151,0.3626
21152,0.3098
21153,0.2491
21154,0.0297
21155,-0.0024
21211,0.8651
21212,0.7863
21213,0.6996
21214,0.4541
21215,0.3960
21221,0.8207
21222,0.7484
21223,0.6682
21224,0.4292
21225,0.3777
21231,0.7204
21232,0.6546
21233,0.5809
21234,0.3484
21235,0.3034
21241,0.3863
21242,0.3269
21243,0.2598
21244,0.0338
21245,-0.0047
21251,0.2929
21252,0.2400
21253,0.1794
21254,-0.0401
21255,-0.0721
21311,0.8077
21312,0.7289
21313,0.6422
21314,0.3968
21315,0.3387
21321,0.7633
21322,0.6910
21323,0.6108
21324,0.3719
21325,0.3203
21331,0.6630
21332,0.5972
21333,0.5235
21334,0.2911
21335,0.2460
21341,0.3289
21342,0.2696
21343,0.2024
21344,-0.0235
21345,-0.0621
21351,0.2355
21352,0.1827
21353,0.1220
21354,-0.0974
21355,-0.1295
21411,0.6886
21412,0.6098
21413,0.5231
21414,0.2777
21415,0.2196
21421,0.6442
21422,0.5719
21423,0.4917
21424,0.2528
21425,0.2012
21431,0.5439
21432,0.4781
21433,0.4044
21434,0.1720
21435,0.1269
21441,0.2098
21442,0.1505
21443,0.0833
21444,-0.1426
21445,-0.1812
21451,0.1164
21452,0.0636
21453,0.0029
21454,-0.2165
21455,-0.2486
21511,0.6572
21512,0.5783
21513,0.4917
21514,0.2462
21515,0.1881
21521,0.6128
21522,0.5404
21523,0.4603
21524,0.2213
21525,0.1698
21531,0.5125
21532,0.4466
21533,0.3730
21534,0.1405
21535,0.0955
21541,0.1784
21542,0.1190
21543,0.0519
21544,-0.1741
21545,-0.2126
21551,0.0849
21552,0.0321
21553,-0.0285
21554,-0.2480
21555,-0.2800
22111,0.8715
22112,0.7927
22113,0.7060
22114,0.4606
22115,0.4025
22121,0.8272
22122,0.7548
22123,0.6746
22124,0.4357
22125,0.3841
22131,0.7268
22132,0.6610
22133,0.5873
22134,0.3549
22135,0.3098
22141,0.3927
22142,0.3334
22143,0.2662
22144,0.0403
22145,0.0017
22151,0.2993
22152,0.2465
22153,0.1858
22154,-0.0336
22155,-0.0657
22211,0.8018
22212,0.7230
22213,0.6363
22214,0.3908
22215,0.3328
22221,0.7574
22222,0.6851
22223,0.6049
22224,0.3659
22225,0.3144
22231,0.6571
22232,0.5913
22233,0.5176
22234,0.2852
22235,0.2401
22241,0.3230
22242,0.2637
22243,0.1965
22244,-0.0295
22245,-0.0680
22251,0.2296
22252,0.1767
22253,0.1161
22254,-0.1034
22255,-0.1354
22311,0.7444
22312,0.6656
22313,0.5789
22314,0.3335
22315,0.2754
22321,0.7000
22322,0.6277
22323,0.5475
22324,0.3086
22325,0.2570
22331,0.5997
22332,0.5339
22333,0.4602
22334,0.2278
22335,0.1827
22341,0.2656
22342,0.2063
22343,0.1391
22344,-0.0868
22345,-0.1254
22351,0.1722
22352,0.1194
22353,0.0587
22354,-0.1607
22355,-0.1928
22411,0.6253
22412,0.5465
22413,0.4598
22414,0.2144
22415,0.1563
22421,0.5810
22422,0.5086
22423,0.4284
22424,0.1895
22425,0.1379
22431,0.4806
22432,0.4148
22433,0.3411
22434,0.1087
22435,0.0636
22441,0.1465
22442,0.0872
22443,0.0200
22444,-0.2059
22445,-0.2445
22451,0.0531
22452,0.0003
22453,-0.0604
22454,-0.2798
22455,-0.3119
22511,0.5939
22512,0.5150
22513,0.4284
22514,0.1829
22515,0.1248
22521,0.5495
22522,0.4772
22523,0.3970
22524,0.1580
22525,0.1065
22531,0.4492
22532,0.3833
22533,0.3097
22534,0.0772
22535,0.0322
22541,0.1151
22542,0.0557
22543,-0.0114
22544,-0.2374
22545,-0.2759
22551,0.0216
22552,-0.0312
22553,-0.0918
22554,-0.3113
22555,-0.3433
23111,0.8140
23112,0.7352
23113,0.6485
23114,0.4030
23115,0.3450
23121,0.7696
23122,0.6973
23123,0.6171
23124,0.3782
23125,0.3266
23131,0.6693
23132,0.6035
23133,0.5298
23134,0.2974
23135,0.2523
23141,0.3352
23142,0.2759
23143,0.2087
23144,-0.0172
23145,-0.0558
23151,0.2418
23152,0.1890
23153,0.1283
23154,-0.0911
23155,-0.1232
23211,0.7443
23212,0.6654
23213,0.5788
23214,0.3333
23215,0.2752
23221,0.6999
23222,0.6276
23223,0.5474
23224,0.3084
23225,0.2569
23231,0.5996
23232,0.5337
23233,0.4601
23234,0.2276
23235,0.1826
23241,0.2655
23242,0.2061
23243,0.1390
23244,-0.0870
23245,-0.1255
23251,0.1720
23252,0.1192
23253,0.0586
23254,-0.1609
23255,-0.1929
23311,0.6869
23312,0.6081
23313,0.5214
23314,0.2759
23315,0.2179
23321,0.6425
23322,0.5702
23323,0.4900
23324,0.2511
23325,0.1995
23331,0.5422
23332,0.4764
23333,0.4027
23334,0.1703
23335,0.1252
23341,0.2081
23342,0.1488
23343,0.0816
23344,-0.1443
23345,-0.1829
23351,0.1147
23352,0.0619
23353,0.0012
23354,-0.2182
23355,-0.2503
23411,0.5678
23412,0.4890
23413,0.4023
23414,0.1568
23415,0.0988
23421,0.5234
23422,0.4511
23423,0.3709
23424,0.1320
23425,0.0804
23431,0.4231
23432,0.3573
23433,0.2836
23434,0.0512
23435,0.0061
23441,0.0890
23442,0.0297
23443,-0.0375
23444,-0.2634
23445,-0.3020
23451,-0.0044
23452,-0.0572
23453,-0.1179
23454,-0.3373
23455,-0.3694
23511,0.5364
23512,0.4575
23513,0.3708
23514,0.1254
23515,0.0673
23521,0.4920
23522,0.4196
23523,0.3395
23524,0.1005
23525,0.0489
23531,0.3917
23532,0.3258
23533,0.2522
23534,0.0197
23535,-0.0253
23541,0.0575
23542,-0.0018
23543,-0.0689
23544,-0.2949
23545,-0.3334
23551,-0.0359
23552,-0.0887
23553,-0.1494
23554,-0.3688
23555,-0.4009
24111,0.6609
24112,0.5821
24113,0.4954
24114,0.2499
24115,0.1919
24121,0.6165
24122,0.5442
24123,0.4640
24124,0.2250
24125,0.1735
24131,0.5162
24132,0.4504
24133,0.3767
24134,0.1443
24135,0.0992
24141,0.1821
24142,0.1228
24143,0.0556
24144,-0.1704
24145,-0.2089
24151,0.0887
24152,0.0358
24153,-0.0248
24154,-0.2443
24155,-0.2763
24211,0.5912
24212,0.5123
24213,0.4256
24214,0.1802
24215,0.1221
24221,0.5468
24222,0.4744
24223,0.3943
24224,0.1553
24225,0.1037
24231,0.4465
24232,0.3806
24233,0.3070
24234,0.0745
24235,0.0294
24241,0.1123
24242,0.0530
24243,-0.0142
24244,-0.2401
24245,-0.2787
24251,0.0189
24252,-0.0339
24253,-0.0946
24254,-0.3140
24255,-0.3461
24311,0.5338
24312,0.4550
24313,0.3683
24314,0.1228
24315,0.0647
24321,0.4894
24322,0.4171
24323,0.3369
24324,0.0979
24325,0.0464
24331,0.3891
24332,0.3233
24333,0.2496
24334,0.0171
24335,-0.0279
24341,0.0550
24342,-0.0044
24343,-0.0715
24344,-0.2975
24345,-0.3360
24351,-0.0384
24352,-0.0913
24353,-0.1519
24354,-0.3714
24355,-0.4034
24411,0.4147
24412,0.3359
24413,0.2492
24414,0.0037
24415,-0.0544
24421,0.3703
24422,0.2980
24423,0.2178
24424,-0.0212
24425,-0.0727
24431,0.2700
24432,0.2042
24433,0.1305
24434,-0.1019
24435,-0.1470
24441,-0.0641
24442,-0.1235
24443,-0.1906
24444,-0.4166
24445,-0.4551
24451,-0.1575
24452,-0.2104
24453,-0.2710
24454,-0.4905
24455,-0.5225
24511,0.3832
24512,0.3044
24513,0.2177
24514,-0.0277
24515,-0.0858
24521,0.3389
24522,0.2665
24523,0.1863
24524,-0.0526
24525,-0.1042
24531,0.2385
24532,0.1727
24533,0.0990
24534,-0.1334
24535,-0.1785
24541,-0.0956
24542,-0.1549
24543,-0.2221
24544,-0.4480
24545,-0.4866
24551,-0.1890
24552,-0.2418
24553,-0.3025
24554,-0.5219
24555,-0.5540
25111,0.6064
25112,0.5276
25113,0.4409
25114,0.1954
25115,0.1374
25121,0.5620
25122,0.4897
25123,0.4095
25124,0.1705
25125,0.1190
25131,0.4617
25132,0.3959
25133,0.3222
25134,0.0898
25135,0.0447
25141,0.1276
25142,0.0683
25143,0.0011
25144,-0.2249
25145,-0.2634
25151,0.0342
25152,-0.0187
25153,-0.0793
25154,-0.2988
25155,-0.3308
25211,0.5367
25212,0.4578
25213,0.3711
25214,0.1257
25215,0.0676
25221,0.4923
25222,0.4199
25223,0.3398
25224,0.1008
25225,0.0492
25231,0.3920
25232,0.3261
25233,0.2525
25234,0.0200
25235,-0.0251
25241,0.0578
25242,-0.0015
25243,-0.0686
25244,-0.2946
25245,-0.3332
25251,-0.0356
25252,-0.0884
25253,-0.1491
25254,-0.3685
25255,-0.4006
25311,0.4793
25312,0.4005
25313,0.3138
25314,0.0683
25315,0.0102
25321,0.4349
25322,0.3626
25323,0.2824
25324,0.0434
25325,-0.0081
25331,0.3346
25332,0.2688
25333,0.1951
25334,-0.0374
25335,-0.0824
25341,0.0005
25342,-0.0589
25343,-0.1260
25344,-0.3520
25345,-0.3905
25351,-0.0929
25352,-0.1458
25353,-0.2064
25354,-0.4259
25355,-0.4579
25411,0.3602
25412,0.2814
25413,0.1947
25414,-0.0508
25415,-0.1088
25421,0.3158
25422,0.2435
25423,0.1633
25424,-0.0757
25425,-0.1272
25431,0.2155
25432,0.1497
25433,0.0760
25434,-0.1564
25435,-0.2015
25441,-0.1186
25442,-0.1779
25443,-0.2451
25444,-0.4711
25445,-0.5096
25451,-0.2120
25452,-0.2649
25453,-0.3255
25454,-0.5450
25455,-0.5770
25511,0.3287
25512,0.2499
25513,0.1632
25514,-0.0822
25515,-0.1403
25521,0.2844
25522,0.2120
25523,0.1318
25524,-0.1071
25525,-0.1587
25531,0.1840
25532,0.1182
25533,0.0445
25534,-0.1879
25535,-0.2330
25541,-0.1501
25542,-0.2094
25543,-0.2766
25544,-0.5025
25545,-0.5411
25551,-0.2435
25552,-0.2963
25553,-0.3570
25554,-0.5764
25555,-0.6085
31111,0.8707
31112,0.7988
31113,0.7191
31114,0.4806
31115,0.4295
31121,0.8264
31122,0.7609
31123,0.6877
31124,0.4557
31125,0.4111
31131,0.7260
31132,0.6671
31133,0.6004
31134,0.3749
31135,0.3368
31141,0.3919
31142,0.3395
31143,0.2793
31144,0.0603
31145,0.0287
31151,0.2985
31152,0.2526
31153,0.1989
31154,-0.0136
31155,-0.0387
31211,0.8010
31212,0.7291
31213,0.6494
31214,0.4108
31215,0.3597
31221,0.7566
31222,0.6912
31223,0.6180
31224,0.3860
31225,0.3413
31231,0.6563
31232,0.5974
31233,0.5307
31234,0.3052
31235,0.2671
31241,0.3222
31242,0.2698
31243,0.2096
31244,-0.0094
31245,-0.0410
31251,0.2288
31252,0.1829
31253,0.1292
31254,-0.0833
31255,-0.1085
31311,0.7436
31312,0.6717
31313,0.5920
31314,0.3535
31315,0.3024
31321,0.6992
31322,0.6338
31323,0.5606
31324,0.3286
31325,0.2840
31331,0.5989
31332,0.5400
31333,0.4733
31334,0.2478
31335,0.2097
31341,0.2648
31342,0.2124
31343,0.1522
31344,-0.0668
31345,-0.0984
31351,0.1714
31352,0.1255
31353,0.0718
31354,-0.1407
31355,-0.1658
31411,0.6245
31412,0.5526
31413,0.4729
31414,0.2344
31415,0.1833
31421,0.5801
31422,0.5147
31423,0.4415
31424,0.2095
31425,0.1649
31431,0.4798
31432,0.4209
31433,0.3542
31434,0.1287
31435,0.0906
31441,0.1457
31442,0.0933
31443,0.0331
31444,-0.1859
31445,-0.2175
31451,0.0523
31452,0.0064
31453,-0.0473
31454,-0.2598
31455,-0.2849
31511,0.5931
31512,0.5212
31513,0.4414
31514,0.2029
31515,0.1518
31521,0.5487
31522,0.4833
31523,0.4101
31524,0.1781
31525,0.1334
31531,0.4484
31532,0.3895
31533,0.3228
31534,0.0973
31535,0.0591
31541,0.1143
31542,0.0619
31543,0.0017
31544,-0.2173
31545,-0.2490
31551,0.0208
31552,-0.0250
31553,-0.0788
31554,-0.2913
31555,-0.3164
32111,0.8074
32112,0.7355
32113,0.6558
32114,0.4173
32115,0.3662
32121,0.7631
32122,0.6977
32123,0.6244
32124,0.3924
32125,0.3478
32131,0.6627
32132,0.6038
32133,0.5371
32134,0.3116
32135,0.2735
32141,0.3286
32142,0.2762
32143,0.2160
32144,-0.0030
32145,-0.0346
32151,0.2352
32152,0.1893
32153,0.1356
32154,-0.0769
32155,-0.1020
32211,0.7377
32212,0.6658
32213,0.5861
32214,0.3475
32215,0.2964
32221,0.6933
32222,0.6279
32223,0.5547
32224,0.3227
32225,0.2780
32231,0.5930
32232,0.5341
32233,0.4674
32234,0.2419
32235,0.2038
32241,0.2589
32242,0.2065
32243,0.1463
32244,-0.0727
32245,-0.1043
32251,0.1655
32252,0.1196
32253,0.0659
32254,-0.1466
32255,-0.1718
32311,0.6803
32312,0.6084
32313,0.5287
32314,0.2902
32315,0.2391
32321,0.6359
32322,0.5705
32323,0.4973
32324,0.2653
32325,0.2207
32331,0.5356
32332,0.4767
32333,0.4100
32334,0.1845
32335,0.1464
32341,0.2015
32342,0.1491
32343,0.0889
32344,-0.1301
32345,-0.1617
32351,0.1081
32352,0.0622
32353,0.0085
32354,-0.2040
32355,-0.2291
32411,0.5612
32412,0.4893
32413,0.4096
32414,0.1711
32415,0.1200
32421,0.5169
32422,0.4515
32423,0.3782
32424,0.1462
32425,0.1016
32431,0.4165
32432,0.3576
32433,0.2909
32434,0.0654
32435,0.0273
32441,0.0824
32442,0.0300
32443,-0.0302
32444,-0.2492
32445,-0.2808
32451,-0.0110
32452,-0.0569
32453,-0.1106
32454,-0.3231
32455,-0.3482
32511,0.5298
32512,0.4579
32513,0.3781
32514,0.1396
32515,0.0885
32521,0.4854
32522,0.4200
32523,0.3468
32524,0.1148
32525,0.0701
32531,0.3851
32532,0.3262
32533,0.2595
32534,0.0340
32535,-0.0042
32541,0.0510
32542,-0.0014
32543,-0.0616
32544,-0.2806
32545,-0.3123
32551,-0.0425
32552,-0.0883
32553,-0.1421
32554,-0.3546
32555,-0.3797
33111,0.7499
33112,0.6780
33113,0.5983
33114,0.3598
33115,0.3086
33121,0.7055
33122,0.6401
33123,0.5669
33124,0.3349
33125,0.2903
33131,0.6052
33132,0.5463
33133,0.4796
33134,0.2541
33135,0.2160
33141,0.2711
33142,0.2187
33143,0.1585
33144,-0.0605
33145,-0.0921
33151,0.1777
33152,0.1318
33153,0.0781
33154,-0.1344
33155,-0.1595
33211,0.6802
33212,0.6083
33213,0.5285
33214,0.2900
33215,0.2389
33221,0.6358
33222,0.5704
33223,0.4972
33224,0.2652
33225,0.2205
33231,0.5355
33232,0.4766
33233,0.4099
33234,0.1844
33235,0.1462
33241,0.2014
33242,0.1490
33243,0.0888
33244,-0.1302
33245,-0.1619
33251,0.1079
33252,0.0621
33253,0.0083
33254,-0.2042
33255,-0.2293
33311,0.6228
33312,0.5509
33313,0.4712
33314,0.2327
33315,0.1815
33321,0.5784
33322,0.5130
33323,0.4398
33324,0.2078
33325,0.1632
33331,0.4781
33332,0.4192
33333,0.3525
33334,0.1270
33335,0.0889
33341,0.1440
33342,0.0916
33343,0.0314
33344,-0.1876
33345,-0.2192
33351,0.0506
33352,0.0047
33353,-0.0490
33354,-0.2615
33355,-0.2866
33411,0.5037
33412,0.4318
33413,0.3521
33414,0.1136
33415,0.0624
33421,0.4593
33422,0.3939
33423,0.3207
33424,0.0887
33425,0.0441
33431,0.3590
33432,0.3001
33433,0.2334
33434,0.0079
33435,-0.0302
33441,0.0249
33442,-0.0275
33443,-0.0877
33444,-0.3067
33445,-0.3383
33451,-0.0685
33452,-0.1144
33453,-0.1681
33454,-0.3806
33455,-0.4057
33511,0.4723
33512,0.4004
33513,0.3206
33514,0.0821
33515,0.0310
33521,0.4279
33522,0.3625
33523,0.2892
33524,0.0572
33525,0.0126
33531,0.3276
33532,0.2687
33533,0.2019
33534,-0.0236
33535,-0.0617
33541,-0.0066
33542,-0.0589
33543,-0.1192
33544,-0.3382
33545,-0.3698
33551,-0.1000
33552,-0.1459
33553,-0.1996
33554,-0.4121
33555,-0.4372
34111,0.5968
34112,0.5249
34113,0.4452
34114,0.2066
34115,0.1555
34121,0.5524
34122,0.4870
34123,0.4138
34124,0.1818
34125,0.1371
34131,0.4521
34132,0.3932
34133,0.3265
34134,0.1010
34135,0.0629
34141,0.1180
34142,0.0656
34143,0.0054
34144,-0.2136
34145,-0.2452
34151,0.0246
34152,-0.0213
34153,-0.0750
34154,-0.2875
34155,-0.3127
34211,0.5271
34212,0.4552
34213,0.3754
34214,0.1369
34215,0.0858
34221,0.4827
34222,0.4173
34223,0.3440
34224,0.1120
34225,0.0674
34231,0.3824
34232,0.3235
34233,0.2567
34234,0.0312
34235,-0.0069
